學生代碼,學校代碼,教師代碼_國文,教師代碼_英文,教師代碼_數學,班級代碼_國文,班級代碼_英文,班級代碼_數學,班級代碼,每周作業頻率_國文,每周作業頻率標準化_國文,每周作業頻率_英文,每周作業頻率標準化_英文,每周作業頻率_數學,每周作業頻率標準化_數學,作業頻率標準化平均值,作業類型_做習題_國文,做習題標準化_國文,作業類型_作文練習_國文,作文練習標準化_國文,作業類型_剪報或蒐集資料_國文,剪報或蒐集資料標準化_國文,作業類型_聽演講、參觀展覽或看表演_國文,聽演講、參觀展覽或看表演標準化_國文,作業類型_分組專題活動_國文,分組專題活動標準化_國文,作業類型_做習題_英文,做習題標準化_英文,作業類型_作文練習_英文,作文練習標準化_英文,作業類型_剪報或蒐集資料_英文,剪報或蒐集資料標準化_英文,作業類型_聽演講、參觀展覽或看表演_英文,聽演講、參觀展覽或看表演標準化_英文,作業類型_分組專題活動_英文,分組專題活動標準化_英文,作業類型_做習題_數學,做習題標準化_數學,作業類型_作文練習_數學,作文練習標準化_數學,作業類型_剪報或蒐集資料_數學,剪報或蒐集資料標準化_數學,作業類型_聽演講、參觀展覽或看表演_數學,聽演講、參觀展覽或看表演標準化_數學,作業類型_分組專題活動_數學,分組專題活動標準化_數學,作業經常次數_國文,作業經常次數_英文,作業經常次數_數學,綜合分析能力測驗答對題數,一般分析能力測驗答對題數,數學分析能力測驗答對題數,跟得上進度_國文,用功程度_國文,作業表現_國文,跟得上進度_英文,用功程度_英文,作業表現_英文,跟得上進度_數學,用功程度_數學,作業表現_數學
5938,1,27,21,18,3228,3228,3228,3228,1,1.5,1,1.5,3,5.5,2.833333333,2,0.66,2,0.66,2,0.66,3,0.33,2,0.66,2,0.66,3,0.33,3,0.33,3,0.33,3,0.33,1,1,5,,5,,5,,4,0,0,0,1,43,17,24,2,4,4,3,3,3,3,4,2
6370,1,4,22,23,2015,2015,2015,2015,2,3.5,1,1.5,3,5.5,3.5,1,1,1,1,1,1,3,0.33,2,0.66,1,1,97,,4,0,4,0,4,0,1,1,5,,5,,5,,5,,3,1,1,51,18,21,2,2,3,2,2,3,2,3,4
6752,1,13,21,9,3166,3166,3166,3166,1,1.5,1,1.5,2,3.5,2.166666667,1,1,3,0.33,2,0.66,5,,5,,2,0.66,3,0.33,3,0.33,3,0.33,3,0.33,1,1,4,0,3,0.33,3,0.33,3,0.33,1,0,1,36,12,15,2,2,4,2,2,3,2,2,4
7177,1,8,5,19,2969,2969,2969,2969,1,1.5,1,1.5,2,3.5,2.166666667,2,0.66,2,0.66,3,0.33,4,0,4,0,1,1,5,,5,,5,,3,0.33,2,0.66,5,,3,0.33,3,0.33,3,0.33,0,1,0,28,13,13,4,4,3,3,4,3,4,,3
8276,1,26,22,15,2202,2202,2202,2202,1,1.5,1,1.5,1,1.5,1.5,1,1,3,0.33,3,0.33,3,0.33,3,0.33,1,1,97,,4,0,4,0,4,0,1,1,5,,5,,4,0,3,0.33,1,1,1,22,10,12,3,4,2,2,3,3,3,3,3
8808,1,2,20,25,2841,2841,2841,2841,1,1.5,1,1.5,2,3.5,2.166666667,2,0.66,1,1,3,0.33,3,0.33,3,0.33,1,1,2,0.66,2,0.66,2,0.66,2,0.66,1,1,5,,5,,5,,5,,1,1,1,36,16,20,2,2,3,2,2,3,2,2,4
9573,1,24,5,12,2068,2068,2068,2068,1,1.5,1,1.5,3,5.5,2.833333333,1,1,2,0.66,2,0.66,2,0.66,2,0.66,1,1,5,,5,,5,,3,0.33,1,1,5,,5,,3,0.33,3,0.33,1,1,1,37,14,21,2,2,4,2,2,4,2,2,4
10324,1,13,21,9,3166,3166,3166,3166,1,1.5,1,1.5,2,3.5,2.166666667,1,1,3,0.33,2,0.66,5,,5,,2,0.66,3,0.33,3,0.33,3,0.33,3,0.33,1,1,4,0,3,0.33,3,0.33,3,0.33,1,0,1,20,10,9,2,2,4,3,2,3,2,2,4
10901,1,13,21,9,3166,3166,3166,3166,1,1.5,1,1.5,2,3.5,2.166666667,1,1,3,0.33,2,0.66,5,,5,,2,0.66,3,0.33,3,0.33,3,0.33,3,0.33,1,1,4,0,3,0.33,3,0.33,3,0.33,1,0,1,36,11,21,3,3,3,2,2,3,2,2,4
11202,1,8,5,19,2969,2969,2969,2969,1,1.5,1,1.5,2,3.5,2.166666667,2,0.66,2,0.66,3,0.33,4,0,4,0,1,1,5,,5,,5,,3,0.33,2,0.66,5,,3,0.33,3,0.33,3,0.33,0,1,0,50,19,23,2,3,3,2,2,3,2,2,3
11607,1,26,22,15,2202,2202,2202,2202,1,1.5,1,1.5,1,1.5,1.5,1,1,3,0.33,3,0.33,3,0.33,3,0.33,1,1,97,,4,0,4,0,4,0,1,1,5,,5,,4,0,3,0.33,1,1,1,34,8,19,2,2,3,2,2,3,2,2,3
11737,1,8,5,19,2969,2969,2969,2969,1,1.5,1,1.5,2,3.5,2.166666667,2,0.66,2,0.66,3,0.33,4,0,4,0,1,1,5,,5,,5,,3,0.33,2,0.66,5,,3,0.33,3,0.33,3,0.33,0,1,0,44,19,24,3,3,4,2,2,3,2,2,3
12384,1,16,10,6,3911,3911,3911,3911,1,1.5,1,1.5,2,3.5,2.166666667,1,1,2,0.66,3,0.33,4,0,4,0,1,1,3,0.33,4,0,3,0.33,3,0.33,1,1,5,,5,,5,,4,0,1,1,1,52,18,26,2,2,3,2,2,3,2,3,3
12491,1,4,22,23,2015,2015,2015,2015,2,3.5,1,1.5,3,5.5,3.5,1,1,1,1,1,1,3,0.33,2,0.66,1,1,97,,4,0,4,0,4,0,1,1,5,,5,,5,,5,,3,1,1,39,14,13,2,2,4,2,2,4,4,2,3
12822,1,27,21,18,3228,3228,3228,3228,1,1.5,1,1.5,3,5.5,2.833333333,2,0.66,2,0.66,2,0.66,3,0.33,2,0.66,2,0.66,3,0.33,3,0.33,3,0.33,3,0.33,1,1,5,,5,,5,,4,0,0,0,1,34,13,14,2,2,4,3,3,3,3,4,2
13213,1,27,21,18,3228,3228,3228,3228,1,1.5,1,1.5,3,5.5,2.833333333,2,0.66,2,0.66,2,0.66,3,0.33,2,0.66,2,0.66,3,0.33,3,0.33,3,0.33,3,0.33,1,1,5,,5,,5,,4,0,0,0,1,42,16,24,2,2,4,2,2,3,2,2,3
13348,1,13,21,9,3166,3166,3166,3166,1,1.5,1,1.5,2,3.5,2.166666667,1,1,3,0.33,2,0.66,5,,5,,2,0.66,3,0.33,3,0.33,3,0.33,3,0.33,1,1,4,0,3,0.33,3,0.33,3,0.33,1,0,1,21,3,8,3,4,2,2,3,3,3,3,3
13768,1,2,20,25,2841,2841,2841,2841,1,1.5,1,1.5,2,3.5,2.166666667,2,0.66,1,1,3,0.33,3,0.33,3,0.33,1,1,2,0.66,2,0.66,2,0.66,2,0.66,1,1,5,,5,,5,,5,,1,1,1,28,9,13,2,2,4,3,3,3,4,4,1
13887,1,16,10,6,3911,3911,3911,3911,1,1.5,1,1.5,2,3.5,2.166666667,1,1,2,0.66,3,0.33,4,0,4,0,1,1,3,0.33,4,0,3,0.33,3,0.33,1,1,5,,5,,5,,4,0,1,1,1,40,13,20,4,4,1,2,3,2,2,3,3
14059,1,8,5,19,2969,2969,2969,2969,1,1.5,1,1.5,2,3.5,2.166666667,2,0.66,2,0.66,3,0.33,4,0,4,0,1,1,5,,5,,5,,3,0.33,2,0.66,5,,3,0.33,3,0.33,3,0.33,0,1,0,47,17,18,2,1,4,1,1,4,2,2,3
15154,1,16,10,6,3911,3911,3911,3911,1,1.5,1,1.5,2,3.5,2.166666667,1,1,2,0.66,3,0.33,4,0,4,0,1,1,3,0.33,4,0,3,0.33,3,0.33,1,1,5,,5,,5,,4,0,1,1,1,53,21,24,2,2,3,2,2,4,1,2,4
15677,1,16,10,6,3911,3911,3911,3911,1,1.5,1,1.5,2,3.5,2.166666667,1,1,2,0.66,3,0.33,4,0,4,0,1,1,3,0.33,4,0,3,0.33,3,0.33,1,1,5,,5,,5,,4,0,1,1,1,50,18,26,3,3,2,2,3,3,2,4,2
15772,1,16,10,6,3911,3911,3911,3911,1,1.5,1,1.5,2,3.5,2.166666667,1,1,2,0.66,3,0.33,4,0,4,0,1,1,3,0.33,4,0,3,0.33,3,0.33,1,1,5,,5,,5,,4,0,1,1,1,46,17,23,2,2,3,2,1,4,2,2,3
15787,1,27,21,18,3228,3228,3228,3228,1,1.5,1,1.5,3,5.5,2.833333333,2,0.66,2,0.66,2,0.66,3,0.33,2,0.66,2,0.66,3,0.33,3,0.33,3,0.33,3,0.33,1,1,5,,5,,5,,4,0,0,0,1,40,17,19,3,3,4,3,3,3,3,2,3
15848,1,4,22,23,2015,2015,2015,2015,2,3.5,1,1.5,3,5.5,3.5,1,1,1,1,1,1,3,0.33,2,0.66,1,1,97,,4,0,4,0,4,0,1,1,5,,5,,5,,5,,3,1,1,37,8,16,2,2,4,2,2,4,2,2,4
16020,1,4,22,23,2015,2015,2015,2015,2,3.5,1,1.5,3,5.5,3.5,1,1,1,1,1,1,3,0.33,2,0.66,1,1,97,,4,0,4,0,4,0,1,1,5,,5,,5,,5,,3,1,1,42,19,20,2,2,4,3,2,4,2,2,3
16163,1,24,5,12,2068,2068,2068,2068,1,1.5,1,1.5,3,5.5,2.833333333,1,1,2,0.66,2,0.66,2,0.66,2,0.66,1,1,5,,5,,5,,3,0.33,1,1,5,,5,,3,0.33,3,0.33,1,1,1,42,18,21,2,2,4,3,2,4,2,3,3
16631,1,26,22,15,2202,2202,2202,2202,1,1.5,1,1.5,1,1.5,1.5,1,1,3,0.33,3,0.33,3,0.33,3,0.33,1,1,97,,4,0,4,0,4,0,1,1,5,,5,,4,0,3,0.33,1,1,1,39,14,19,3,3,1,2,2,3,2,2,3
16896,1,4,22,23,2015,2015,2015,2015,2,3.5,1,1.5,3,5.5,3.5,1,1,1,1,1,1,3,0.33,2,0.66,1,1,97,,4,0,4,0,4,0,1,1,5,,5,,5,,5,,3,1,1,30,12,14,2,2,3,3,3,3,4,4,2
16933,1,2,20,25,2841,2841,2841,2841,1,1.5,1,1.5,2,3.5,2.166666667,2,0.66,1,1,3,0.33,3,0.33,3,0.33,1,1,2,0.66,2,0.66,2,0.66,2,0.66,1,1,5,,5,,5,,5,,1,1,1,36,16,18,3,2,3,2,2,3,3,3,4
17225,1,2,20,25,2841,2841,2841,2841,1,1.5,1,1.5,2,3.5,2.166666667,2,0.66,1,1,3,0.33,3,0.33,3,0.33,1,1,2,0.66,2,0.66,2,0.66,2,0.66,1,1,5,,5,,5,,5,,1,1,1,42,15,23,2,3,1,4,4,2,3,3,3
17340,1,1,3,7,3188,3188,3188,3188,1,1.5,1,1.5,2,3.5,2.166666667,1,1,2,0.66,3,0.33,4,0,4,0,1,1,4,0,4,0,4,0,4,0,1,1,5,,5,,5,,5,,1,1,1,36,10,17,2,2,4,2,2,3,2,2,3
17395,1,8,5,19,2969,2969,2969,2969,1,1.5,1,1.5,2,3.5,2.166666667,2,0.66,2,0.66,3,0.33,4,0,4,0,1,1,5,,5,,5,,3,0.33,2,0.66,5,,3,0.33,3,0.33,3,0.33,0,1,0,40,13,24,2,3,4,3,3,2,2,2,3
17447,1,24,5,12,2068,2068,2068,2068,1,1.5,1,1.5,3,5.5,2.833333333,1,1,2,0.66,2,0.66,2,0.66,2,0.66,1,1,5,,5,,5,,3,0.33,1,1,5,,5,,3,0.33,3,0.33,1,1,1,33,16,14,3,3,3,2,3,3,1,3,3
17947,1,24,5,12,2068,2068,2068,2068,1,1.5,1,1.5,3,5.5,2.833333333,1,1,2,0.66,2,0.66,2,0.66,2,0.66,1,1,5,,5,,5,,3,0.33,1,1,5,,5,,3,0.33,3,0.33,1,1,1,26,9,11,2,2,4,3,3,3,3,3,3
18140,1,1,3,7,3188,3188,3188,3188,1,1.5,1,1.5,2,3.5,2.166666667,1,1,2,0.66,3,0.33,4,0,4,0,1,1,4,0,4,0,4,0,4,0,1,1,5,,5,,5,,5,,1,1,1,21,10,11,3,2,4,4,,4,4,2,4
18267,1,13,21,9,3166,3166,3166,3166,1,1.5,1,1.5,2,3.5,2.166666667,1,1,3,0.33,2,0.66,5,,5,,2,0.66,3,0.33,3,0.33,3,0.33,3,0.33,1,1,4,0,3,0.33,3,0.33,3,0.33,1,0,1,27,9,17,3,3,2,4,3,3,3,4,3
18434,1,24,5,12,2068,2068,2068,2068,1,1.5,1,1.5,3,5.5,2.833333333,1,1,2,0.66,2,0.66,2,0.66,2,0.66,1,1,5,,5,,5,,3,0.33,1,1,5,,5,,3,0.33,3,0.33,1,1,1,52,17,22,1,1,4,1,1,4,2,1,4
18993,1,4,22,23,2015,2015,2015,2015,2,3.5,1,1.5,3,5.5,3.5,1,1,1,1,1,1,3,0.33,2,0.66,1,1,97,,4,0,4,0,4,0,1,1,5,,5,,5,,5,,3,1,1,35,16,16,3,3,2,2,3,3,3,3,3
19650,1,1,3,7,3188,3188,3188,3188,1,1.5,1,1.5,2,3.5,2.166666667,1,1,2,0.66,3,0.33,4,0,4,0,1,1,4,0,4,0,4,0,4,0,1,1,5,,5,,5,,5,,1,1,1,38,15,22,3,3,3,4,4,1,2,3,3
19882,1,26,22,15,2202,2202,2202,2202,1,1.5,1,1.5,1,1.5,1.5,1,1,3,0.33,3,0.33,3,0.33,3,0.33,1,1,97,,4,0,4,0,4,0,1,1,5,,5,,4,0,3,0.33,1,1,1,41,16,21,2,1,4,2,2,4,2,2,4
19989,1,1,3,7,3188,3188,3188,3188,1,1.5,1,1.5,2,3.5,2.166666667,1,1,2,0.66,3,0.33,4,0,4,0,1,1,4,0,4,0,4,0,4,0,1,1,5,,5,,5,,5,,1,1,1,27,11,13,3,2,4,3,1,4,3,2,3
20049,1,2,20,25,2841,2841,2841,2841,1,1.5,1,1.5,2,3.5,2.166666667,2,0.66,1,1,3,0.33,3,0.33,3,0.33,1,1,2,0.66,2,0.66,2,0.66,2,0.66,1,1,5,,5,,5,,5,,1,1,1,27,9,13,3,3,2,3,3,2,3,2,4
835,5,2,6,3,3627,3627,3627,3627,2,3.5,1,1.5,1,1.5,2.166666667,1,1,2,0.66,2,0.66,4,0,3,0.33,1,1,2,0.66,2,0.66,5,,5,,1,1,4,0,1,1,3,0.33,2,0.66,1,1,2,35,9,18,2,2,4,2,2,4,2,2,4
1134,5,2,6,3,3627,3627,3627,3627,2,3.5,1,1.5,1,1.5,2.166666667,1,1,2,0.66,2,0.66,4,0,3,0.33,1,1,2,0.66,2,0.66,5,,5,,1,1,4,0,1,1,3,0.33,2,0.66,1,1,2,26,11,10,4,3,3,4,3,3,3,4,2
1966,5,2,6,3,3627,3627,3627,3627,2,3.5,1,1.5,1,1.5,2.166666667,1,1,2,0.66,2,0.66,4,0,3,0.33,1,1,2,0.66,2,0.66,5,,5,,1,1,4,0,1,1,3,0.33,2,0.66,1,1,2,50,16,22,1,1,4,1,2,4,1,2,4
2114,5,2,6,3,3627,3627,3627,3627,2,3.5,1,1.5,1,1.5,2.166666667,1,1,2,0.66,2,0.66,4,0,3,0.33,1,1,2,0.66,2,0.66,5,,5,,1,1,4,0,1,1,3,0.33,2,0.66,1,1,2,47,15,22,1,1,4,2,1,4,1,2,4
2667,5,2,6,3,3627,3627,3627,3627,2,3.5,1,1.5,1,1.5,2.166666667,1,1,2,0.66,2,0.66,4,0,3,0.33,1,1,2,0.66,2,0.66,5,,5,,1,1,4,0,1,1,3,0.33,2,0.66,1,1,2,22,6,10,4,4,1,4,4,1,4,4,1
3279,5,5,1,,2148,2148,,2148,1,1.5,2,3.5,,,2.5,2,0.66,1,1,2,0.66,2,0.66,2,0.66,1,1,3,0.33,3,0.33,3,0.33,3,0.33,,,,,,,,,,,1,1,,31,14,15,3,4,2,3,3,2,99,99,99
3852,5,2,6,3,3627,3627,3627,3627,2,3.5,1,1.5,1,1.5,2.166666667,1,1,2,0.66,2,0.66,4,0,3,0.33,1,1,2,0.66,2,0.66,5,,5,,1,1,4,0,1,1,3,0.33,2,0.66,1,1,2,37,9,15,2,2,3,2,2,4,2,2,3
4022,5,5,1,,2148,2148,,2148,1,1.5,2,3.5,,,2.5,2,0.66,1,1,2,0.66,2,0.66,2,0.66,1,1,3,0.33,3,0.33,3,0.33,3,0.33,,,,,,,,,,,1,1,,38,10,18,2,3,3,2,2,3,99,99,99
4525,5,5,1,,2148,2148,,2148,1,1.5,2,3.5,,,2.5,2,0.66,1,1,2,0.66,2,0.66,2,0.66,1,1,3,0.33,3,0.33,3,0.33,3,0.33,,,,,,,,,,,1,1,,31,7,17,2,3,2,2,3,3,99,99,99
4528,5,2,6,3,3627,3627,3627,3627,2,3.5,1,1.5,1,1.5,2.166666667,1,1,2,0.66,2,0.66,4,0,3,0.33,1,1,2,0.66,2,0.66,5,,5,,1,1,4,0,1,1,3,0.33,2,0.66,1,1,2,27,12,12,2,2,4,2,2,4,2,2,3
6093,5,2,6,3,3627,3627,3627,3627,2,3.5,1,1.5,1,1.5,2.166666667,1,1,2,0.66,2,0.66,4,0,3,0.33,1,1,2,0.66,2,0.66,5,,5,,1,1,4,0,1,1,3,0.33,2,0.66,1,1,2,41,10,18,1,1,4,1,1,4,2,2,4
6523,5,2,6,3,3627,3627,3627,3627,2,3.5,1,1.5,1,1.5,2.166666667,1,1,2,0.66,2,0.66,4,0,3,0.33,1,1,2,0.66,2,0.66,5,,5,,1,1,4,0,1,1,3,0.33,2,0.66,1,1,2,44,14,21,2,3,3,2,2,4,1,2,3
7467,5,2,6,3,3627,3627,3627,3627,2,3.5,1,1.5,1,1.5,2.166666667,1,1,2,0.66,2,0.66,4,0,3,0.33,1,1,2,0.66,2,0.66,5,,5,,1,1,4,0,1,1,3,0.33,2,0.66,1,1,2,45,19,23,2,3,3,3,3,3,2,3,3
8198,5,5,1,,2148,2148,,2148,1,1.5,2,3.5,,,2.5,2,0.66,1,1,2,0.66,2,0.66,2,0.66,1,1,3,0.33,3,0.33,3,0.33,3,0.33,,,,,,,,,,,1,1,,37,15,13,2,1,4,2,2,3,99,99,99
8309,5,5,1,,2148,2148,,2148,1,1.5,2,3.5,,,2.5,2,0.66,1,1,2,0.66,2,0.66,2,0.66,1,1,3,0.33,3,0.33,3,0.33,3,0.33,,,,,,,,,,,1,1,,29,8,16,3,3,2,3,3,3,99,99,99
8690,5,5,1,,2148,2148,,2148,1,1.5,2,3.5,,,2.5,2,0.66,1,1,2,0.66,2,0.66,2,0.66,1,1,3,0.33,3,0.33,3,0.33,3,0.33,,,,,,,,,,,1,1,,34,13,17,2,3,3,3,2,3,99,99,99
8920,5,5,1,,2148,2148,,2148,1,1.5,2,3.5,,,2.5,2,0.66,1,1,2,0.66,2,0.66,2,0.66,1,1,3,0.33,3,0.33,3,0.33,3,0.33,,,,,,,,,,,1,1,,34,12,18,2,2,3,2,2,3,99,99,99
9038,5,5,1,,2148,2148,,2148,1,1.5,2,3.5,,,2.5,2,0.66,1,1,2,0.66,2,0.66,2,0.66,1,1,3,0.33,3,0.33,3,0.33,3,0.33,,,,,,,,,,,1,1,,28,8,12,2,3,3,2,2,3,99,99,99
13115,5,5,1,,2148,2148,,2148,1,1.5,2,3.5,,,2.5,2,0.66,1,1,2,0.66,2,0.66,2,0.66,1,1,3,0.33,3,0.33,3,0.33,3,0.33,,,,,,,,,,,1,1,,39,14,20,2,2,3,2,2,3,99,99,99
13733,5,5,1,,2148,2148,,2148,1,1.5,2,3.5,,,2.5,2,0.66,1,1,2,0.66,2,0.66,2,0.66,1,1,3,0.33,3,0.33,3,0.33,3,0.33,,,,,,,,,,,1,1,,52,21,24,1,2,4,1,1,3,99,99,99
14274,5,5,1,,2148,2148,,2148,1,1.5,2,3.5,,,2.5,2,0.66,1,1,2,0.66,2,0.66,2,0.66,1,1,3,0.33,3,0.33,3,0.33,3,0.33,,,,,,,,,,,1,1,,25,12,15,3,4,2,3,3,2,99,99,99
14659,5,5,1,,2148,2148,,2148,1,1.5,2,3.5,,,2.5,2,0.66,1,1,2,0.66,2,0.66,2,0.66,1,1,3,0.33,3,0.33,3,0.33,3,0.33,,,,,,,,,,,1,1,,48,18,19,2,2,4,2,1,3,99,99,99
14978,5,5,1,,2148,2148,,2148,1,1.5,2,3.5,,,2.5,2,0.66,1,1,2,0.66,2,0.66,2,0.66,1,1,3,0.33,3,0.33,3,0.33,3,0.33,,,,,,,,,,,1,1,,41,17,18,2,3,4,2,2,3,99,99,99
15982,5,2,6,3,3627,3627,3627,3627,2,3.5,1,1.5,1,1.5,2.166666667,1,1,2,0.66,2,0.66,4,0,3,0.33,1,1,2,0.66,2,0.66,5,,5,,1,1,4,0,1,1,3,0.33,2,0.66,1,1,2,42,12,22,1,1,4,1,1,4,1,1,4
16060,5,5,1,,2148,2148,,2148,1,1.5,2,3.5,,,2.5,2,0.66,1,1,2,0.66,2,0.66,2,0.66,1,1,3,0.33,3,0.33,3,0.33,3,0.33,,,,,,,,,,,1,1,,31,10,17,3,3,3,2,2,3,99,99,99
16984,5,5,1,,2148,2148,,2148,1,1.5,2,3.5,,,2.5,2,0.66,1,1,2,0.66,2,0.66,2,0.66,1,1,3,0.33,3,0.33,3,0.33,3,0.33,,,,,,,,,,,1,1,,31,7,16,2,2,4,2,2,3,99,99,99
17791,5,2,6,3,3627,3627,3627,3627,2,3.5,1,1.5,1,1.5,2.166666667,1,1,2,0.66,2,0.66,4,0,3,0.33,1,1,2,0.66,2,0.66,5,,5,,1,1,4,0,1,1,3,0.33,2,0.66,1,1,2,46,17,24,1,1,4,1,2,4,1,2,4
